数据库：年度数据
时间：最近10年
指标,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年
农产品生产价格指数(上年=100),99.1,97.7,100.4,97.8,115.0,114.5,99.1,96.5,103.4,101.7
种植业产品生产价格指数(上年=100),98.7,99.2,102.9,110.6,102.8,100.8,101.2,99.5,97.0,99.2
谷物生产价格指数(上年=100),93.2,100.6,104.3,113.8,104.1,100.3,102.3,100.5,92.2,98.7
小麦生产价格指数(上年=100),93.5,97.3,112.8,106.6,100.5,100.1,100.1,104.4,94.1,99.2
稻谷生产价格指数(上年=100),99.9,101.7,99.7,101.9,100.8,96.5,99.7,100.7,98.8,101.6
玉米生产价格指数(上年=100),85.9,101.6,102.7,125.5,107.6,102.0,105.1,97.1,86.8,96.5
豆类生产价格指数(上年价格=100),,,,,,100.1,,,97.9,98.9
大豆生产价格指数(上年=100),95.7,98.1,105.3,112.8,105.5,100.1,97.9,97.7,97.6,99.0
油料生产价格指数(上年=100),97.2,104.4,105.0,107.2,107.9,105.2,99.1,100.5,101.1,100.8
花生生产价格指数(上年价格=100),,,,,,106.3,,,101.7,102.0
油菜籽生产价格指数(上年价格=100),,,,,,102.1,,,100.4,99.6
棉花生产价格指数(上年=100),98.0,101.0,102.9,117.3,98.5,97.8,97.9,100.8,118.4,87.5
糖料生产价格指数(上年=100),103.3,103.5,104.5,100.9,103.1,97.7,98.8,106.3,106.5,98.8
麻类生产价格指数(上年价格=100),,,,,,109.8,,,100.0,105.1
烟叶生产价格指数(上年价格=100),,,,,,101.8,,,95.0,100.6
蔬菜生产价格指数(上年=100),103.9,95.9,101.4,105.6,105.2,101.2,103.6,95.6,107.0,104.6
水果生产价格指数(上年=100),95.8,102.3,106.6,99.7,95.3,103.6,101.1,104.8,92.5,99.7
茶叶生产价格指数(上年价格=100),,,,,,102.7,,,99.4,98.7
林业产品生产价格指数(上年=100),103.6,97.3,98.4,102.4,100.7,100.1,98.9,104.9,96.1,97.9
畜牧业产品生产价格指数(上年=100),100.2,91.7,95.7,82.1,132.4,133.5,95.6,90.8,110.4,104.2
猪(毛重)生产价格指数(上年=100),109.0,86.0,90.2,64.9,155.7,150.5,85.6,86.0,119.4,108.9
牛(毛重)生产价格指数(上年=100),83.3,92.2,98.1,106.1,110.5,112.5,104.9,98.8,98.7,99.1
羊(毛重)生产价格指数(上年=100),90.4,95.1,93.3,102.3,110.4,114.3,114.7,107.1,93.6,89.4
家禽(毛重)生产价格指数(上年=100),97.1,100.1,103.8,104.7,92.9,107.8,107.7,96.7,99.6,101.3
蛋类生产价格指数(上年=100),93.6,99.4,107.3,115.5,85.9,102.1,117.6,92.8,94.3,96.9
奶类生产价格指数(上年=100),89.6,94.9,100.0,107.8,101.5,105.6,101.3,100.0,96.2,92.2
渔业产品生产价格指数(上年=100),98.4,99.4,100.4,108.8,100.2,99.4,102.6,104.9,103.4,102.5
海水养殖产品生产价格指数(上年=100),96.4,99.6,101.1,105.6,96.3,97.2,101.4,107.9,104.1,101.0
海水捕捞产品生产价格指数(上年=100),99.3,102.6,102.3,103.0,99.6,100.6,104.7,103.1,106.2,106.0
淡水养殖产品生产价格指数(上年=100),99.3,97.6,99.3,112.4,102.0,99.8,102.2,102.4,102.0,102.1
淡水捕捞产品生产价格指数(上年=100),,,,,,,,,,
注：2011年渔业产品指标分类依据最新《统计用产品分类目录》有所调整。
数据来源：国家统计局
