数据库：年度数据
时间：最近10年
指标,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年
粮食产量(万吨),70649.89,69540.99,68652.77,68284.75,66949.15,66384.34,65789.22,66160.73,66043.51,66060.27
夏收粮食产量(万吨),14989.00,14615.20,14740.35,14595.68,14285.61,14160.23,13881.02,14174.46,14050.16,14074.94
秋粮产量(万吨),52843.00,52092.00,51100.15,50887.42,49934.24,49597.58,49049.18,48999.10,48890.78,48778.09
谷物产量(万吨),65228.72,64143.01,63324.34,63275.69,61674.28,61369.73,61003.58,61520.54,61666.53,61818.41
稻谷产量(万吨),20753.49,20660.32,20849.48,21284.24,21185.96,20961.40,21212.90,21267.59,21109.42,21214.19
早稻产量(万吨),2817.00,2833.70,2812.27,2801.64,2729.31,2626.54,2859.02,2987.16,3102.57,3207.25
中稻和一季晚稻产量(万吨),,,14964.26,15406.62,15350.12,15326.13,15212.37,14957.28,14638.86,14475.73
双季晚稻产量(万吨),,,3072.95,3075.98,3106.52,3008.72,3141.52,3323.15,3367.99,3531.22
小麦产量(万吨),14009.94,13659.01,13772.34,13694.45,13425.38,13359.63,13144.05,13424.13,13318.83,13255.52
冬小麦产量(万吨),,,13243.31,13176.34,12887.61,12773.16,12500.52,12794.09,12660.84,12624.80
春小麦产量(万吨),,,529.02,518.11,537.77,586.47,643.53,630.04,657.99,630.71
玉米产量(万吨),29491.69,28884.23,27720.30,27255.06,26066.52,26077.89,25717.39,25907.07,26361.31,26499.22
谷子产量(万吨),,,261.81,288.64,280.65,254.00,234.18,254.79,233.02,211.95
高粱产量(万吨),,,309.39,337.72,296.99,313.70,290.94,246.49,223.45,220.25
其他谷物产量(万吨),,,,,,,404.11,420.47,420.49,417.28
大麦产量(万吨),,,,,,,95.65,108.52,119.24,141.14
豆类产量(万吨),2362.79,2384.10,2351.03,1965.52,2287.46,2131.90,1920.27,1841.56,1650.66,1512.52
绿豆产量(万吨),,,38.93,44.38,50.77,57.35,68.11,65.06,56.49,52.38
红小豆产量(万吨),,,24.70,23.23,20.85,24.01,27.79,36.00,27.54,17.57
大豆产量(万吨),2064.78,2084.17,2028.35,1639.54,1960.18,1809.18,1596.71,1528.25,1359.55,1236.74
薯类产量(万吨),3058.38,3013.88,2977.39,3043.54,2987.41,2882.72,2865.37,2798.62,2726.32,2729.35
马铃薯产量(万吨),,,1788.26,1790.66,1798.30,1777.94,1798.37,1769.63,1698.57,1645.33
棉花产量(万吨),616.36,561.79,598.02,573.09,591.05,588.90,610.28,565.25,534.28,590.74
油料产量(万吨),3978.69,3863.66,3654.21,3613.17,3586.40,3492.98,3433.39,3475.24,3400.05,3390.47
花生产量(万吨),1961.31,1923.07,1832.95,1830.78,1799.27,1751.96,1733.20,1709.19,1636.06,1596.13
油菜籽产量(万吨),1686.89,1631.74,1553.14,1471.35,1404.91,1348.47,1328.12,1327.41,1312.80,1385.92
芝麻产量(万吨),,45.34,43.53,45.54,45.69,46.70,43.15,36.65,35.20,45.03
葵花籽产量(万吨),234.84,213.76,174.13,215.39,257.02,266.35,249.42,314.94,320.10,287.20
胡麻籽产量(万吨),,,25.87,26.29,28.43,33.18,33.52,30.10,32.50,31.19
糖料产量(万吨),11457.43,11376.30,11236.45,11454.45,12014.04,12169.06,11937.41,11378.84,11176.03,11215.22
麻类产量(万吨),24.73,16.32,22.84,21.14,24.94,23.39,20.31,21.79,18.13,15.56
黄红麻产量(万吨),,1.22,1.46,1.57,1.93,2.92,2.86,2.91,3.39,4.78
亚麻产量(万吨),,,,,,,1.30,1.08,1.23,1.10
大麻产量(万吨),,,,,,,10.62,12.47,7.16,2.60
苎麻产量(万吨),,,,,,,5.39,5.08,5.22,5.83
甘蔗产量(万吨),10209.44,10456.55,10338.13,10666.38,10812.10,10938.81,10809.71,10440.43,10321.54,10706.43
甜菜产量(万吨),1241.12,916.02,893.32,785.09,1198.40,1227.29,1127.66,938.41,854.49,508.79
烟叶产量(万吨),225.64,229.67,218.81,212.76,213.40,215.34,224.10,239.14,257.39,267.73
烤烟产量(万吨),215.03,219.12,207.99,202.07,202.16,202.11,210.97,227.87,244.50,249.52
蔬菜产量(万吨),86113.98,82868.11,79997.22,77548.78,74912.90,72102.60,70346.72,69192.68,67434.16,66425.10
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
