数据库：分省年度数据
地区：北京市
时间：最近10年
指标,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年
农产品生产价格指数(上年=100),98.8,99.7,102.7,98.2,110.9,109.9,103.6,96.2,99.7,99.8
种植业生产价格指数(上年价格=100),,102.1,103.3,104.7,99.3,98.6,109.7,98.5,94.7,97.5
谷物生产价格指数(上年价格=100),,,,,,99.0,,,85.3,92.4
小麦生产价格指数(上年价格=100),,,,,,98.4,,,99.2,102.2
稻谷生产价格指数(上年价格=100),,,,,,,,,,
玉米生产价格指数(上年价格=100),,,,,,99.2,,,81.4,89.6
豆类生产价格指数(上年价格=100),,,,,,,,,,
大豆生产价格指数(上年价格=100),,,,,,,,,,
薯类生产价格指数(上年价格=100),,,,,,,,,,
油料生产价格指数(上年价格=100),,,,,,,,,,
花生生产价格指数(上年价格=100),,,,,,,,,,
油菜籽生产价格指数(上年价格=100),,,,,,,,,,
棉花生产价格指数(上年价格=100),,,,,,,,,,
糖料生产价格指数(上年价格=100),,,,,,,,,,
麻类生产价格指数(上年价格=100),,,,,,,,,,
烟叶生产价格指数(上年价格=100),,,,,,,,,,
蔬菜生产价格指数(上年价格=100),,,,,,103.0,,,102.5,102.4
水果生产价格指数(上年价格=100),,,,,,93.0,,,85.8,95.9
茶叶生产价格指数(上年价格=100),,,,,,,,,,
林产品生产价格指数(上年价格=100),,,,,,,,,,
畜产品生产价格指数(上年价格=100),,94.6,102.0,90.3,124.6,123.3,97.0,93.6,104.7,101.9
猪生产价格指数(上年价格=100),,,,,,149.8,,,121.0,111.2
家禽生产价格指数(上年价格=100),,,,,,101.4,,,98.4,100.4
蛋类生产价格指数(上年价格=100),,,,,,102.3,,,96.2,99.3
奶类生产价格指数(上年价格=100),,,,,,103.8,,,93.1,90.7
渔业产品生产价格指数(上年价格=100),,103.9,99.3,109.5,98.1,99.6,96.6,97.6,99.0,101.0
海水养殖产品生产价格指数(上年=100),,,,,,,,,,
海水捕捞产品生产价格指数(上年=100),,,,,,,,,,
淡水养殖产品生产价格指数(上年=100),,,,,,,,,99.0,101.0
淡水捕捞产品生产价格指数(上年=100),,,,,,,,,,
注：2011年渔业产品指标分类依据最新《统计用产品分类目录》有所调整。
数据来源：国家统计局
