数据库：分省季度数据
地区：北京市
时间：最近6季度
指标,2025年第三季度,2025年第二季度,2025年第一季度,2024年第四季度,2024年第三季度,2024年第二季度
农产品生产者价格指数当季值（上年同期=100）,97.7,97.4,98.1,97.2,102.7,99.6
种植业产品生产价格指数当季值（上年同期=100）,99.9,98.4,97.1,96.6,104.1,101.9
谷物生产价格指数当季值（上年同期=100）,101.7,90.3,92.8,78.5,97.9,98.9
小麦生产价格指数当季值（上年同期=100）,101.7,90.3,,85.6,97.9,98.9
玉米生产价格指数当季值（上年同期=100）,,,92.8,78.3,,
蔬菜生产价格指数当季值（上年同期=100）,102.6,98.6,99.2,102.8,108.2,102.5
水果生产价格指数当季值（上年同期=100）,97.1,98.9,95.5,101.0,102.1,102.8
畜牧业产品生产价格指数当季值（上年同期=100）,90.6,95.7,98.9,98.2,98.6,96.1
猪(毛重)生产价格指数当季值（上年同期=100）,86.9,93.3,106.7,105.0,109.7,103.6
牛(毛重)生产价格指数当季值（上年同期=100）,98.7,98.4,93.1,96.8,92.6,96.8
羊(毛重)生产价格指数当季值（上年同期=100）,100.8,98.4,93.6,94.3,102.6,92.7
肉禽(毛重)生产价格指数当季值（上年同期=100）,96.3,100.5,98.8,98.2,97.4,96.6
禽蛋生产价格指数当季值（上年同期=100）,82.6,95.8,99.7,97.1,98.0,89.6
奶类生产价格指数当季值（上年同期=100）,99.4,94.3,92.1,91.4,88.5,96.5
渔业产品生产价格指数当季值（上年同期=100）,101.3,97.6,99.5,100.4,102.1,95.5
淡水养殖产品生产价格指数当季值（上年同期=100）,101.3,97.6,99.5,100.4,102.1,95.5
注：2011年渔业产品指标分类依据最新《统计用产品分类目录》有所调整。
数据来源：国家统计局
