数据库：月度数据
时间：最近13个月
指标,2025年10月,2025年9月,2025年8月,2025年7月,2025年6月,2025年5月,2025年4月,2025年3月,2025年2月,2025年1月,2024年12月,2024年11月,2024年10月
草鱼（1-2公斤）集贸市场价格当期值(元/公斤),19.50,20.00,20.57,20.77,20.51,19.46,18.66,18.43,17.97,18.17,18.08,18.19,18.31
草鱼（1-2公斤）集贸市场价格环比增长(%),-2.5,-2.8,-1.0,1.3,5.4,4.3,1.2,2.5,-1.1,0.5,-0.5,-0.7,-1.5
草鱼（1-2公斤）集贸市场价格同比增长(%),6.5,7.7,11.0,13.2,12.6,6.5,3.8,3.2,-0.6,0.8,-0.1,0.0,-0.3
鲤鱼（1-2公斤）集贸市场价格当期值(元/公斤),15.59,15.90,16.12,16.33,16.15,16.00,15.52,15.40,15.24,15.54,15.40,15.51,15.71
鲤鱼（1-2公斤）集贸市场价格环比增长(%),-2.0,-1.3,-1.3,1.1,1.0,3.0,0.8,1.0,-1.9,0.9,-0.9,-1.3,-0.9
鲤鱼（1-2公斤）集贸市场价格同比增长(%),-1.0,0.1,1.4,3.7,2.7,1.0,-1.4,0.2,-0.7,2.0,1.3,2.4,3.2
鲢鱼（1-2公斤）集贸市场价格当期值(元/公斤),13.16,13.22,13.32,13.44,13.29,13.09,13.00,12.99,13.02,13.36,13.74,13.78,13.93
鲢鱼（1-2公斤）集贸市场价格环比增长(%),-0.4,-0.8,-0.9,1.1,1.6,0.7,0.0,-0.2,-2.5,-2.8,-0.3,-1.1,-1.0
鲢鱼（1-2公斤）集贸市场价格同比增长(%),-5.5,-6.1,-5.7,-3.9,-5.2,-7.2,-6.5,-6.5,-7.4,-4.3,-1.0,-0.9,0.5
带鱼（0.5-1公斤）集贸市场价格当期值(元/公斤),33.63,33.75,33.83,34.00,33.60,33.69,33.47,33.44,33.52,33.95,33.14,33.01,32.83
带鱼（0.5-1公斤）集贸市场价格环比增长(%),-0.4,-0.2,-0.5,1.2,-0.2,0.6,0.1,-0.2,-1.3,2.4,0.4,0.5,-0.4
带鱼（0.5-1公斤）集贸市场价格同比增长(%),2.5,2.4,2.2,3.1,1.7,1.3,0.0,-1.3,-1.4,-0.8,-2.3,-2.9,-3.6
注：全国200个农产品集贸市场调查县，受新型冠状病毒肺炎疫情影响，2月份北京、黑龙江、山东、河南、湖北、重庆等共有26个县集贸市场被迫关闭，无法采集数据。为确保数据可比，1月份和上年同期数据做了同口径处理。
数据来源：国家统计局
