数据库：月度数据
时间：最近13个月
指标,2025年10月,2025年9月,2025年8月,2025年7月,2025年6月,2025年5月,2025年4月,2025年3月,2025年2月,2025年1月,2024年12月,2024年11月,2024年10月
红富士苹果（中等）集贸市场价格当期值(元/公斤),12.05,12.47,12.73,12.79,12.50,12.02,11.56,11.14,11.06,11.17,10.93,10.94,11.19
红富士苹果（中等）集贸市场价格环比增长(%),-3.3,-2.0,-0.5,2.4,4.0,4.0,3.8,0.7,-0.9,2.2,-0.1,-2.2,-3.5
红富士苹果（中等）集贸市场价格同比增长(%),7.7,7.6,9.9,11.4,11.1,6.8,1.6,-4.1,-5.5,-3.3,-4.8,-5.3,-4.9
香蕉（中等）集贸市场价格当期值(元/公斤),6.34,6.51,6.68,7.04,7.50,8.07,8.17,7.57,7.36,7.21,6.96,7.25,7.73
香蕉（中等）集贸市场价格环比增长(%),-2.8,-2.5,-5.1,-6.1,-7.1,-1.2,7.8,2.9,2.0,3.6,-4.0,-6.2,-0.1
香蕉（中等）集贸市场价格同比增长(%),-18.1,-15.8,-10.7,-0.3,12.2,21.4,27.6,13.7,10.4,9.5,3.3,7.1,12.2
橙子（中等）集贸市场价格当期值(元/公斤),11.59,11.65,11.54,11.22,10.88,10.40,10.13,9.93,9.98,10.20,10.27,10.87,11.51
橙子（中等）集贸市场价格环比增长(%),-0.5,1.0,2.8,3.1,4.6,2.7,2.0,-0.5,-2.1,-0.7,-5.5,-5.6,-0.5
橙子（中等）集贸市场价格同比增长(%),0.7,0.8,2.9,4.1,7.5,4.1,2.1,-2.3,-4.6,-4.0,-8.7,-8.3,-9.7
注：全国200个农产品集贸市场调查县，受新型冠状病毒肺炎疫情影响，2月份北京、黑龙江、山东、河南、湖北、重庆等共有26个县集贸市场被迫关闭，无法采集数据。为确保数据可比，1月份和上年同期数据做了同口径处理。
数据来源：国家统计局
