数据库：月度数据
时间：最近13个月
指标,2025年10月,2025年9月,2025年8月,2025年7月,2025年6月,2025年5月,2025年4月,2025年3月,2025年2月,2025年1月,2024年12月,2024年11月,2024年10月
活猪（中等）集贸市场价格当期值(元/公斤),13.41,14.27,14.94,15.26,15.29,15.55,15.92,15.97,16.45,17.22,17.18,17.86,18.62
活猪（中等）集贸市场价格环比增长(%),-6.0,-4.4,-2.1,-0.2,-1.7,-2.3,-0.3,-3.0,-4.4,0.2,-3.8,-4.1,-3.4
活猪（中等）集贸市场价格同比增长(%),-27.9,-26.0,-26.4,-19.3,-14.6,-4.1,2.5,3.0,8.6,12.4,11.4,14.3,16.5
仔猪（普通）集贸市场价格当期值(元/公斤),27.88,30.72,33.60,35.43,36.32,37.51,38.18,37.55,36.57,35.83,35.06,35.82,37.03
仔猪（普通）集贸市场价格环比增长(%),-9.2,-8.6,-5.2,-2.5,-3.2,-1.8,1.7,2.7,2.1,2.2,-2.5,-3.3,-6.4
仔猪（普通）集贸市场价格同比增长(%),-24.8,-22.4,-21.2,-14.8,-10.6,0.5,7.4,11.9,17.4,23.5,26.2,24.2,20.1
猪肉（去骨统肉）集贸市场价格当期值(元/公斤),22.67,23.70,24.32,24.66,24.67,25.02,25.49,25.69,26.51,27.82,27.50,28.36,29.34
猪肉（去骨统肉）集贸市场价格环比增长(%),-4.3,-2.6,-1.4,-0.1,-1.4,-1.8,-0.8,-3.1,-4.7,1.2,-3.1,-3.3,-4.2
猪肉（去骨统肉）集贸市场价格同比增长(%),-22.7,-22.6,-22.5,-15.3,-11.4,-0.4,4.8,4.9,7.7,13.9,12.6,15.8,16.6
活牛（中等）集贸市场价格当期值(元/公斤),28.34,28.32,28.15,27.85,27.82,27.85,27.62,26.60,25.68,25.72,25.72,26.19,26.49
活牛（中等）集贸市场价格环比增长(%),0.1,0.6,1.1,0.1,-0.1,0.8,3.8,3.6,-0.2,-0.0,-1.8,-1.1,-1.3
活牛（中等）集贸市场价格同比增长(%),7.0,5.5,4.8,5.3,4.1,2.2,-2.3,-10.7,-17.0,-18.5,-21.0,-20.8,-20.6
牛肉（去骨统肉）集贸市场价格当期值(元/公斤),70.76,70.52,69.80,69.41,69.29,69.05,68.41,65.90,64.39,65.08,64.70,65.52,66.31
牛肉（去骨统肉）集贸市场价格环比增长(%),0.3,1.0,0.6,0.2,0.3,0.9,3.8,2.3,-1.1,0.6,-1.3,-1.2,-0.9
牛肉（去骨统肉）集贸市场价格同比增长(%),6.7,5.4,4.4,4.4,3.2,-0.6,-5.7,-12.9,-17.1,-17.2,-18.9,-18.6,-17.8
活羊（中等）集贸市场价格当期值(元/公斤),31.46,31.01,30.74,30.60,30.69,30.80,30.86,30.90,31.14,31.60,31.26,31.34,31.43
活羊（中等）集贸市场价格环比增长(%),1.4,0.9,0.5,-0.3,-0.4,-0.2,-0.1,-0.8,-1.4,1.1,-0.4,-0.3,-0.2
活羊（中等）集贸市场价格同比增长(%),0.2,-1.6,-2.2,-2.2,-3.6,-3.6,-5.9,-8.8,-10.8,-10.3,-11.5,-11.3,-10.4
羊肉（去骨统肉）集贸市场价格当期值(元/公斤),69.96,69.30,68.21,68.16,68.29,68.23,68.38,68.57,69.07,70.09,69.71,70.20,70.40
羊肉（去骨统肉）集贸市场价格环比增长(%),1.0,1.6,0.1,-0.2,0.1,-0.2,-0.3,-0.7,-1.5,0.6,-0.5,-0.3,-0.4
羊肉（去骨统肉）集贸市场价格同比增长(%),-0.5,-2.0,-3.7,-3.6,-3.9,-4.7,-6.2,-7.9,-8.9,-8.0,-9.1,-8.4,-8.4
活鸡（普通肉鸡）集贸市场价格当期值(元/公斤),21.42,21.57,21.38,21.24,21.22,21.37,21.46,21.60,21.72,22.34,21.67,21.70,21.86
活鸡（普通肉鸡）集贸市场价格环比增长(%),-0.7,0.9,0.6,0.1,-0.7,-0.4,-0.6,-0.6,-2.8,3.1,-0.1,-0.7,-0.4
活鸡（普通肉鸡）集贸市场价格同比增长(%),-2.0,-1.7,-2.3,-2.7,-2.2,-2.0,-1.1,-1.8,-1.8,1.0,-1.6,-1.6,-1.4
鸡蛋（普通鲜蛋）集贸市场价格当期值(元/公斤),9.22,9.79,9.24,9.21,9.00,9.45,9.83,9.79,10.17,11.40,11.31,11.20,11.61
鸡蛋（普通鲜蛋）集贸市场价格环比增长(%),-5.8,5.9,0.3,2.3,-4.8,-3.8,0.3,-3.7,-10.8,0.8,1.0,-3.5,-1.1
鸡蛋（普通鲜蛋）集贸市场价格同比增长(%),-20.6,-16.6,-20.4,-15.4,-10.6,-8.4,1.1,-3.2,-2.9,2.5,0.7,-3.5,-1.0
注：全国200个农产品集贸市场调查县，受新型冠状病毒肺炎疫情影响，2月份北京、黑龙江、山东、河南、湖北、重庆等共有26个县集贸市场被迫关闭，无法采集数据。为确保数据可比，1月份和上年同期数据做了同口径处理。
数据来源：国家统计局
