数据库：月度数据
时间：最近13个月
指标,2025年10月,2025年9月,2025年8月,2025年7月,2025年6月,2025年5月,2025年4月,2025年3月,2025年2月,2025年1月,2024年12月,2024年11月,2024年10月
籼稻（中等）集贸市场价格当期值(元/公斤),2.90,2.91,2.92,2.93,2.94,2.94,2.94,2.94,2.94,2.94,2.93,2.93,2.93
籼稻（中等）集贸市场价格环比增长(%),-0.3,-0.5,-0.3,-0.4,0.3,-0.2,0.1,0.1,-0.2,0.4,-0.0,0.0,-0.7
籼稻（中等）集贸市场价格同比增长(%),-1.0,-1.4,-1.4,-1.2,-2.0,-1.3,-2.0,-2.3,-2.2,-2.1,-3.0,-2.7,-2.3
粳稻（中等）集贸市场价格当期值(元/公斤),3.18,3.19,3.19,3.20,3.19,3.17,3.17,3.17,3.16,3.15,3.19,3.21,3.25
粳稻（中等）集贸市场价格环比增长(%),-0.1,-0.2,-0.1,0.2,0.5,0.1,0.1,0.2,0.2,-1.2,-0.6,-1.2,-1.5
粳稻（中等）集贸市场价格同比增长(%),-2.0,-3.4,-3.7,-3.3,-3.9,-5.2,-5.6,-5.8,-5.9,-5.8,-5.5,-5.6,-3.0
小麦（中等）集贸市场价格当期值(元/公斤),2.83,2.81,2.81,2.81,2.80,2.82,2.81,2.81,2.81,2.81,2.81,2.83,2.84
小麦（中等）集贸市场价格环比增长(%),0.7,0.1,-0.2,0.4,-0.6,0.2,-0.0,0.2,0.1,-0.3,-0.5,-0.4,0.0
小麦（中等）集贸市场价格同比增长(%),-0.4,-1.0,-1.8,-2.0,-3.5,-4.3,-6.3,-7.7,-9.2,-9.7,-10.8,-10.7,-10.7
玉米（中等）集贸市场价格当期值(元/公斤),2.45,2.50,2.52,2.53,2.52,2.49,2.45,2.42,2.37,2.35,2.35,2.38,2.40
玉米（中等）集贸市场价格环比增长(%),-2.0,-0.9,-0.5,0.3,1.5,1.4,1.2,2.2,1.1,0.1,-1.4,-0.8,-2.4
玉米（中等）集贸市场价格同比增长(%),1.9,1.7,-0.5,-1.7,-2.3,-2.8,-4.2,-7.1,-10.2,-12.1,-14.9,-15.6,-16.1
大豆（中等）集贸市场价格当期值(元/公斤),7.16,7.20,7.21,7.21,7.22,7.21,7.19,7.19,7.17,7.18,7.19,7.25,7.32
大豆（中等）集贸市场价格环比增长(%),-0.6,-0.1,0.0,-0.1,0.1,0.2,0.0,0.3,-0.1,-0.2,-0.7,-1.0,-1.3
大豆（中等）集贸市场价格同比增长(%),-2.1,-2.9,-3.5,-3.4,-3.1,-3.7,-4.4,-5.1,-5.8,-5.9,-6.4,-6.1,-5.4
籼米（中等）集贸市场价格当期值(元/公斤),5.23,5.23,5.24,5.25,5.25,5.25,5.26,5.25,5.24,5.24,5.25,5.25,5.26
籼米（中等）集贸市场价格环比增长(%),-0.0,-0.1,-0.2,-0.0,0.1,-0.2,0.2,0.3,-0.1,-0.1,-0.1,-0.2,-0.2
籼米（中等）集贸市场价格同比增长(%),-0.5,-0.6,-0.7,-0.7,-0.9,-0.0,-0.7,-1.3,-1.6,-1.8,-1.7,-1.5,-1.3
粳米（中等）集贸市场价格当期值(元/公斤),5.83,5.83,5.82,5.83,5.83,5.82,5.81,5.80,5.80,5.82,5.81,5.82,5.83
粳米（中等）集贸市场价格环比增长(%),0.0,0.2,-0.1,-0.0,0.2,0.2,0.1,-0.1,-0.2,0.2,-0.1,-0.2,-0.3
粳米（中等）集贸市场价格同比增长(%),0.0,-0.4,-0.6,-0.6,-0.6,-0.5,-0.8,-1.2,-1.1,-1.3,-1.4,-1.2,-0.7
注：全国200个农产品集贸市场调查县，受新型冠状病毒肺炎疫情影响，2月份北京、黑龙江、山东、河南、湖北、重庆等共有26个县集贸市场被迫关闭，无法采集数据。为确保数据可比，1月份和上年同期数据做了同口径处理。
数据来源：国家统计局
