数据库：月度数据
时间：最近13个月
指标,2025年10月,2025年9月,2025年8月,2025年7月,2025年6月,2025年5月,2025年4月,2025年3月,2025年2月,2025年1月,2024年12月,2024年11月,2024年10月
棉花[籽棉]（中准级）集贸市场价格当期值(元/公斤),7.27,7.33,7.38,7.34,7.35,7.35,7.37,7.38,7.36,7.42,7.35,7.42,7.41
棉花[籽棉]（中准级）集贸市场价格环比增长(%),-0.8,-0.7,0.5,-0.2,0.0,-0.2,-0.2,0.2,-0.7,0.9,-1.0,0.1,-1.3
棉花[籽棉]（中准级）集贸市场价格同比增长(%),-1.9,-2.5,-3.4,-4.6,-4.4,-5.0,-5.3,-5.4,-5.6,-5.2,-5.1,-4.7,-6.4
花生仁（中等）集贸市场价格当期值(元/公斤),13.85,13.89,13.96,13.98,13.99,13.85,13.87,13.96,14.02,14.12,14.08,14.15,14.24
花生仁（中等）集贸市场价格环比增长(%),-0.2,-0.5,-0.1,-0.1,1.0,-0.1,-0.6,-0.4,-0.8,0.3,-0.5,-0.6,-1.5
花生仁（中等）集贸市场价格同比增长(%),-2.7,-4.1,-4.6,-4.3,-4.6,-6.0,-6.2,-5.6,-5.2,-4.6,-5.3,-5.3,-6.3
油菜籽（普通）集贸市场价格当期值(元/公斤),6.35,6.35,6.34,6.33,6.33,6.33,6.39,6.40,6.39,6.23,6.18,6.22,6.22
油菜籽（普通）集贸市场价格环比增长(%),0.1,0.1,0.1,-0.0,0.0,-0.9,-0.2,0.2,2.5,0.7,-0.6,0.0,-0.5
油菜籽（普通）集贸市场价格同比增长(%),2.1,1.5,0.6,0.2,0.8,0.7,0.2,-0.1,-0.1,-2.7,-5.0,-4.2,-4.2
注：全国200个农产品集贸市场调查县，受新型冠状病毒肺炎疫情影响，2月份北京、黑龙江、山东、河南、湖北、重庆等共有26个县集贸市场被迫关闭，无法采集数据。为确保数据可比，1月份和上年同期数据做了同口径处理。
数据来源：国家统计局
