数据库：月度数据
时间：最近13个月
指标,2025年10月,2025年9月,2025年8月,2025年7月,2025年6月,2025年5月,2025年4月,2025年3月,2025年2月,2025年1月,2024年12月,2024年11月,2024年10月
大白菜（中等）集贸市场价格当期值(元/公斤),3.16,3.24,3.12,2.80,2.73,2.55,2.62,2.38,2.40,2.55,2.49,2.67,3.40
大白菜（中等）集贸市场价格环比增长(%),-2.4,3.6,11.6,2.3,7.0,-2.4,9.8,-0.7,-6.0,2.4,-6.6,-21.5,-19.4
大白菜（中等）集贸市场价格同比增长(%),-7.0,-23.3,-25.7,-9.8,-7.9,-18.0,-20.7,-21.0,-14.8,7.8,5.3,12.2,19.3
黄瓜（中等）集贸市场价格当期值(元/公斤),8.75,6.71,6.35,4.90,4.71,4.82,5.68,6.64,6.49,7.87,6.72,6.95,6.23
黄瓜（中等）集贸市场价格环比增长(%),30.3,5.7,29.7,3.9,-2.2,-15.2,-14.5,2.3,-17.6,17.1,-3.3,11.6,-14.1
黄瓜（中等）集贸市场价格同比增长(%),40.2,-7.4,-15.4,-25.4,1.1,4.7,-4.1,-9.1,-18.9,1.8,-15.3,-7.9,0.5
西红柿（中等）集贸市场价格当期值(元/公斤),8.41,7.03,6.45,5.86,5.60,6.10,7.10,7.43,7.47,7.93,7.59,8.22,9.51
西红柿（中等）集贸市场价格环比增长(%),19.6,9.0,10.0,4.6,-8.2,-14.1,-4.4,-0.5,-5.9,4.5,-7.6,-13.6,-1.8
西红柿（中等）集贸市场价格同比增长(%),-11.5,-27.4,-10.7,3.3,7.1,-10.2,0.7,4.9,-12.7,-10.4,-12.2,17.6,48.6
菜椒（中等）集贸市场价格当期值(元/公斤),9.20,8.73,7.36,7.00,6.64,7.02,7.89,8.09,7.82,9.20,8.38,8.79,10.52
菜椒（中等）集贸市场价格环比增长(%),5.3,18.6,5.2,5.4,-5.4,-11.0,-2.5,3.5,-15.0,9.8,-4.8,-16.4,-5.1
菜椒（中等）集贸市场价格同比增长(%),-12.7,-21.2,-14.4,-5.6,2.4,-2.8,-3.2,-10.3,-21.3,5.6,3.3,29.6,54.9
四季豆（中等）集贸市场价格当期值(元/公斤),12.35,11.14,10.22,9.86,9.86,9.70,11.70,12.69,12.54,13.86,12.16,11.63,11.78
四季豆（中等）集贸市场价格环比增长(%),10.8,9.0,3.7,0.0,1.7,-17.1,-7.8,1.2,-9.5,14.0,4.5,-1.3,-8.8
四季豆（中等）集贸市场价格同比增长(%),4.6,-13.8,-16.7,0.4,10.0,2.7,-5.1,-12.7,-13.6,11.9,-2.4,-2.8,3.2
注：全国200个农产品集贸市场调查县，受新型冠状病毒肺炎疫情影响，2月份北京、黑龙江、山东、河南、湖北、重庆等共有26个县集贸市场被迫关闭，无法采集数据。为确保数据可比，1月份和上年同期数据做了同口径处理。
数据来源：国家统计局
